Controlled Substances Schedule IV,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,Phentermine (1640),Diethylproplon (1608),Fenfluramine (1670),Prazepam (2764),Prazepam (2764),Phenobarbital (2285),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Fludiazepam (2759) Effective 11/5/1984,Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethinamate (2545),Ethinamate (2545),Ethchlorvynol (254),Estazolam (2756)
,,,,,,,Pemoline (including organometallic complexes and chelates thereof) (1530),Phentermine (1640),Diethylproplon (1608),Fenfluramine (1670),Fenfluramine (1670),Prazepam (2764),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Flunitrazepam (2753) Effective 11/5/1984,Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Fludiazepam (2759),Ethyl loflazepate (2758),Ethyl loflazepate (2758),Ethinamate (2545),Ethchlorvynol (254)
,,,,,,,,Pemoline (including organometallic complexes and chelates thereof) (1530),Phentermine (1640),Diethylproplon (1608),Diethylproplon (1610),Fenfluramine (1670),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Flunitrazepam (2753),Fludiazepam (2759),Fludiazepam (2759),Ethyl loflazepate (2758),Ethinamate (2545)
,,,,,,,,"Dextropropoxyphene (alpha - (+) - 4 - dimethylamino-1, 2 - diphenyl - 3 - methyl - 2 - propionoxybutane) (8121) Effective 3/14/1977",Pemoline (including organometallic complexes and chelates thereof) (1530),Phentermine (1640),Phentermine (1640),Diethylproplon (1610),Prazepam (2764),Prazepam (2764),Prazepam (2764),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flurazepam (2767),Flunitrazepam (2753),Flunitrazepam (2753),Fludiazepam (2759),Ethyl loflazepate (2758)
,,,,,,,,,"Dextropropoxyphene (alpha - (+) - 4 - dimethylamino-1, 2 - diphenyl - 3 - methyl - 2 - propionoxybutane) (8121)",Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Phentermine (1640),Temazepam (2925) Effective 4/7/1981,Temazepam (2925),Temazepam (2925),Haloxazolam (2771) Effective 11/5/1984,Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Halazepam (2762),Fospropofol (2138) Effective 11/5/2009,Fospropofol (2138),Flurazepam (2767),Flurazepam (2767),Flunitrazepam (2753),Fludiazepam (2759)
,,,,,,,,,,"Dextropropoxyphene (alpha - (+) - 4 - dimethylamino-1, 2 - diphenyl - 3 - methyl - 2 - propionoxybutane) (8121)","Dextropropoxyphene (alpha - (+) - 4 - dimethylamino-1, 2 - diphenyl - 3 - methyl - 2 - propionoxybutane) (8121)",Pemoline (including organometallic complexes and chelates thereof) (1530),Fenfluramine (1670),Triazolam (2887) Effective 12/28/1982,Triazolam (2887),Ketazolam (2772) Effective 11/5/1984,Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Haloxazolam (2771),Halazepam (2762),Halazepam (2762),Fospropofol (2138),Fospropofol (2138),Flurazepam (2767),Flunitrazepam (2753)
,,,,,,,,,,Pentazocine (9709) Effective 2/9/1979,Pentazocine (9709),Pipradrol (1750) Effective 12/1/1980,Diethylpropion (1610),Fenfluramine (1670),Fenfluramine (1670),Loprazolam (2773) Effective 11/5/1984,Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Ketazolam (2772),Haloxazolam (2771),Haloxazolam (2771),Halazepam (2762),Halazepam (2762),Fospropofol (2138),Flurazepam (2767)
,,,,,,,,,,,,"SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635) Effective 12/1/1980","Mazindol (1605) Moved from Schedule III to IV, Effective 11/27/1981",Diethylpropion (1610),Diethylpropion (1610),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Loprazolam (2773),Ketazolam (2772),Ketazolam (2772),Haloxazolam (2771),Haloxazolam (2771),Halazepam (2762),Fospropofol (2138)
,,,,,,,,,,,,Pentazocine (9709),Pemoline (including organometallic complexes and chelates thereof) (1530),Mazindol (1605),Mazindol (1605),Lormetazepam (2774) Effective 11/5/1984,Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Lorazepam (2885),Loprazolam (2773),Loprazolam (2773),Ketazolam (2772),Ketazolam (2772),Haloxazolam (2771),Halazepam (2762)
,,,,,,,,,,,,,Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lormetazepam (2774),Lorazepam (2885),Lorazepam (2885),Loprazolam (2773),Loprazolam (2773),Ketazolam (2772),Haloxazolam (2771)
,,,,,,,,,,,,,Pipradrol (1750),Phentermine (1640),Phentermine (1640),Medazepam (2836) Effective 11/5/1989,Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Mebutamate (2800),Lormetazepam (2774),Lormetazepam (2774),Lorazepam (2885),Lorazepam (2885),Loprazolam (2773),Ketazolam (2772)
,,,,,,,,,,,,,"SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635)",Pipradrol (1750),Pipradrol (1750),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Medazepam (2836),Mebutamate (2800),Mebutamate (2800),Lormetazepam (2774),Lormetazepam (2774),Lorazepam (2885),Loprazolam (2773)
,,,,,,,,,,,,,Pentazocine (9709),"SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635)",Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Meprobamate (2820),Medazepam (2836),Medazepam (2836),Mebutamate (2800),Mebutamate (2800),Lormetazepam (2774),Lorazepam (2885)
,,,,,,,,,,,,,,Pentazocine (9709),Pentazocine (9709),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Methohexital (2264),Meprobamate (2820),Meprobamate (2820),Medazepam (2836),Medazepam (2836),Mebutamate (2800),Lormetazepam (2774)
,,,,,,,,,,,,,,,,Nimetazepam (2837) Effective 11/5/1984,Midazolam (2884) Effective 3/25/1986,Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methohexital (2264),Methohexital (2264),Meprobamate (2820),Meprobamate (2820),Medazepam (2836),Mebutamate (2800)
,,,,,,,,,,,,,,,,Nitrazepam (2834) Effective 11/5/1984,Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Midazolam (2884),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methohexital (2264),Methohexital (2264),Meprobamate (2820),Medazepam (2836)
,,,,,,,,,,,,,,,,Nordiazepam (2838) Effective 11/5/1984,Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Nimetazepam (2837),Midazolam (2884),Midazolam (2884),Methylphenobarbital (mephobarbital)( 2250),Methylphenobarbital (mephobarbital)( 2250),Methohexital (2264),Meprobamate (2820)
,,,,,,,,,,,,,,,,Oxazepam (2835),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nitrazepam (2834),Nimetazepam (2837),Nimetazepam (2837),Midazolam (2884),Midazolam (2884),Methylphenobarbital (mephobarbital)( 2250),Methohexital (2264)
,,,,,,,,,,,,,,,,Oxazolam (2839) Effective 11/5/1984,Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nordiazepam (2838),Nitrazepam (2834),Nitrazepam (2834),Nimetazepam (2837),Nimetazepam (2837),Midazolam (2884),Methylphenobarbital (mephobarbital)( 2250)
,,,,,,,,,,,,,,,,Paraldehyde (2585),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Oxazepam (2835),Nordiazepam (2838),Nordiazepam (2838),Nitrazepam (2834),Nitrazepam (2834),Nimetazepam (2837),Midazolam (2884)
,,,,,,,,,,,,,,,,Petrichloral (2591),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazolam (2839),Oxazepam (2835),Oxazepam (2835),Nordiazepam (2838),Nordiazepam (2838),Nitrazepam (2834),Nimetazepam (2837)
,,,,,,,,,,,,,,,,Phenobarbital (2285),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Paraldehyde (2585),Oxazolam (2839),Oxazolam (2839),Oxazepam (2835),Oxazepam (2835),Nordiazepam (2838),Nitrazepam (2834)
,,,,,,,,,,,,,,,,Pinazepam (2883) Effective 11/5/1984,Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Petrichloral (2591),Paraldehyde (2585),Paraldehyde (2585),Oxazolam (2839),Oxazolam (2839),Oxazepam (2835),Nordiazepam (2838)
,,,,,,,,,,,,,,,,Prazepam (2764),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Phenobarbital (2285),Petrichloral (2591),Petrichloral (2591),Paraldehyde (2585),Paraldehyde (2585),Oxazolam (2839),Oxazepam (2835)
,,,,,,,,,,,,,,,,Temazepam (2925),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Pinazepam (2883),Phenobarbital (2285),Phenobarbital (2285),Petrichloral (2591),Petrichloral (2591),Paraldehyde (2585),Oxazolam (2839)
,,,,,,,,,,,,,,,,Tetrazepam (2886) Effective 11/5/1984,Quazepam (2881) Effective 3/25/1986,Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Prazepam (2764),Pinazepam (2883),Pinazepam (2883),Phenobarbital (2285),Phenobarbital (2285),Petrichloral (2591),Paraldehyde (2585)
,,,,,,,,,,,,,,,,Triazolam (2887),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Quazepam (2881),Prazepam (2764),Prazepam (2764),Pinazepam (2883),Pinazepam (2883),Phenobarbital (2285),Petrichloral (2591)
,,,,,,,,,,,,,,,,Fenfluramine (1670),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Temazepam (2925),Quazepam (2881),Quazepam (2881),Prazepam (2764),Prazepam (2764),Pinazepam (2883),Phenobarbital (2285)
,,,,,,,,,,,,,,,,Diethylpropion (1610),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Tetrazepam (2886),Temazepam (2925),Temazepam (2925),Quazepam (2881),Quazepam (2881),Prazepam (2764),Pinazepam (2883)
,,,,,,,,,,,,,,,,Mazindol (1605),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Zolpidem (2783) Effective 2/5/1993,Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zaleplon (2781) Effective 9/15/1999,Zaleplon (2781),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Triazolam (2887),Tetrazepam (2886),Tetrazepam (2886),Temazepam (2925),Temazepam (2925),Quazepam (2881),Prazepam (2764)
,,,,,,,,,,,,,,,,Pemoline (including organometallic complexes and chelates thereof) (1530),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Cathine ((+)norpseudoephedrine) (1230) Effective 6/16/1988,Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Zolpidem (2783),Zolpidem (2783),Zaleplon (2781),Zaleplon (2781),Zaleplon (2781),Zaleplon (2781),Zaleplon (2781),Zaleplon (2781),Zaleplon (2781),Zaleplon (2781),Triazolam (2887),Triazolam (2887),Tetrazepam (2886),Tetrazepam (2886),Temazepam (2925),Quazepam (2881)
,,,,,,,,,,,,,,,,Phentermine (1640),Mazindol (1605),Mazindol (1605),Mazindol (1605),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670),Fenfluramine (1670),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zolpidem (2783),Zaleplon (2781),Zaleplon (2781),Triazolam (2887),Triazolam (2887),Tetrazepam (2886),"Suvorexant (2223) Effective Sept. 29, 2014"
,,,,,,,,,,,,,,,,Pipradrol (1750),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Fencamfamin (1760) Effective 6/16/1988,Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Zopiclone (2784),Zopiclone (2784),Zopiclone (2784),Zopiclone (2784),Zolpidem (2783),Zolpidem (2783),Zaleplon (2781),Zaleplon (2781),Triazolam (2887),Temazepam (2925)
,,,,,,,,,,,,,,,,"SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635)",Phentermine (1640),Phentermine (1640),Phentermine (1640),Fenproporex (1575) Effective 6/16/1988,Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Diethylpropion (1610),Diethylpropion (1610),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Fenfluramine (1670),Zopiclone (2784),Zopiclone (2784),Zolpidem (2783),Zolpidem (2783),Zaleplon (2781),Tetrazepam (2886)
,,,,,,,,,,,,,,,,Pentazocine (9709),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Mazindol (1605),Mazindol (1605),Mazindol (1605),Mazindol (1605),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fencamfamin (1760),Fencamfamin (1760),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670),Fenfluramine (1670),Zopiclone (2784),Zopiclone (2784),Zolpidem (2783),Triazolam (2887)
