Controlled Substances Schedule I,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
6,,,,,,,,,,,,,,,,,,,,,,,,,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,"(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590","(+)cis-4-methylaminorex ((+)cis-4,5-dihydro-4-methyl-5-phenyl-2-oxazolamine) (name change) 1590"
7,,,,,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480",N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475,N-ethylamphetamine 1475
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480","N,N-dimethylamphetamine (Also known as N,N-alpha-trimethyl-benzeneethanamine; N,N,alpha-trimethylphenethylamine) 1480"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(g) Cannabimimetic agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2014,2015
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) (moved by PL, July 9, 2012) (7297)","5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) 7297","5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) 7297"
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5-(1,1-Dimethyloctyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannbicuclohexanol and CP-47,497 C8 homologue) (moved by PL, July 9, 2012) 7298","5-(1,1-Dimethyloctyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannbicuclohexanol and CP-47,497 C8 homologue) 7298","5-(1,1-Dimethyloctyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannbicuclohexanol and CP-47,497 C8 homologue) 7298"
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) (moved by PL, July 9, 2012) 7118","1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) 7118","1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) 7118"
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-Butyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) (moved by PL, July 9, 2012) 7173","1-Butyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) 7173","1-Butyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) 7173"
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-hexyl-3-(1-naph-thol)indole (JWH-019) (July 9, 2012) 7019",1-hexyl-3-(1-naph-thol)indole (JWH-019) 7019,1-hexyl-3-(1-naph-thol)indole (JWH-019) 7019
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-[2-(4-Morpholinyl)ethyl]-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-200) (moved by PL, July 9, 2012) 7200","1-[2-(4-Morpholinyl)ethyl]-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-200) 7200","1-[2-(4-Morpholinyl)ethyl]-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-200) 7200"
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-pentyl-3-(2-methoxyphenylacetyl)indole (JWH-250)  6250,1-pentyl-3-(2-methoxyphenylacetyl)indole (JWH-250)  6250,1-pentyl-3-(2-methoxyphenylacetyl)indole (JWH-250)  6250
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-pentyl-3-[1-(4-methoxynaphthoyl)]indole (JWH-081) (July 9, 2012) 7081",1-pentyl-3-[1-(4-methoxynaphthoyl)]indole (JWH-081) 7081,1-pentyl-3-[1-(4-methoxynaphthoyl)]indole (JWH-081) 7081
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-pentyl-3-(4-methyl-1-naphthoyl)indole (JWH-122) (July 9, 2012) 7122",1-pentyl-3-(4-methyl-1-naphthoyl)indole (JWH-122) 7122,1-pentyl-3-(4-methyl-1-naphthoyl)indole (JWH-122) 7122
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-pentyl-3-(4-chloro-1-naphthoyl)indole (JWH-398) (July 9, 2012) 7398",1-pentyl-3-(4-chloro-1-naphthoyl)indole (JWH-398)  7398,1-pentyl-3-(4-chloro-1-naphthoyl)indole (JWH-398)  7398
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-(5-fluoropentyl)-3-(1-naphthoyl)indole (AM2201) (July 9, 2012) 7201",1-(5-fluoropentyl)-3-(1-naphthoyl)indole (AM2201) 7201,1-(5-fluoropentyl)-3-(1-naphthoyl)indole (AM2201) 7201
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-(5-fluoropentyl)-3-(2-iodobenzoyl)indole (AM694) (July 9, 2012) 7694",1-(5-fluoropentyl)-3-(2-iodobenzoyl)indole (AM694) 7694,1-(5-fluoropentyl)-3-(2-iodobenzoyl)indole (AM694) 7694
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-pentyl-3-[(4-methoxy)-benzoyl]indole (SR-19 and RCS-4) (July 9, 2012) 7104",1-pentyl-3-[(4-methoxy)-benzoyl]indole (SR-19 and RCS-4) 7104,1-pentyl-3-[(4-methoxy)-benzoyl]indole (SR-19 and RCS-4) 7104
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-cyclohexylethyl-3-(2-methoxyphenylacetyl)indole 7008 (SR-18 and RCS-8) (July 9, 2012) 7008",1-cyclohexylethyl-3-(2-methoxyphenylacetyl)indole 7008 (SR-18 and RCS-8) 7008,1-cyclohexylethyl-3-(2-methoxyphenylacetyl)indole 7008 (SR-18 and RCS-8) 7008
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1-pentyl-3-(2-chlorophenylacetyl)indole (JWH-203) (July 9, 2012) 7203",1-pentyl-3-(2-chlorophenylacetyl)indole (JWH-203) 7203,1-pentyl-3-(2-chlorophenylacetyl)indole (JWH-203) 7203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(h) Temporary listing of substances subject to emergency scheduling,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,,,,,,,,,,,,,,,,"3-Methylfentanyl (N-[3-methyl-1-(2-phenylethyl)-4-piperidyl]-N-phenylpropanamide), its optical and geometric isomers, salts and salts of isomers (April 25, 1985) 9813","3-Methylfentanyl (N-[3-methyl-1-(2-phenylethyl)-4-piperidyl]-N-phenylpropanamide), its optical and geometric isomers, salts and salts of isomers (April 25, 1985) 9813"," N-[1-(1-methyl-2-phenyl)ethyl-4-piperidinyl]-Nphenylacetamide (acetyl-alpha-methylfentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9815","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) (March 1, 2011) 7297","5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) 7297","3,4-methylenedioxy-N-methylcathinone (Other names: methylone) 7540","3,4-methylenedioxy-N-methylcathinone (Other names: methylone) 7540","3,4-methylenedioxy-N-methylcathinone (Other names: methylone) 7540"
2,,,,,,,,,,,,,,,,,"3,4-methylenedioxymethamphetamine (MDMA) (July 1, 1985) 7405","N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide (alpha-methylthiofentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9832","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834","5-(1,1-Dimethyloctyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannbicuclohexanol and CP-47,497 C8 homologue) (March 1, 2011) 7298","5-(1,1-Dimethyloctyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannbicuclohexanol and CP-47,497 C8 homologue) 7298","5–(1,1–Dimethyloctyl)–2–[ (1 R, 3 S)–3–hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannabicyclohexanol and CP–47,497 C8 homologue) 7298","5–(1,1–Dimethyloctyl)–2–[ (1 R, 3 S)–3–hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannabicyclohexanol and CP–47,497 C8 homologue) 7298","5–(1,1–Dimethyloctyl)–2–[ (1 R, 3 S)–3–hydroxycyclohexyl]-phenol, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: cannabicyclohexanol and CP–47,497 C8 homologue) 7298"
3,,,,,,,,,,,,,,,,,"1-methyl-4-phenyl-4-propionoxypiperidine (MPPP), its optical isomers, salts and salts of isomers (August 12, 1985) 9661","N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9818","3,4-methylenedioxt-N0ethylamphetamine (also known as N-ethyl-alpha-methyl-3,4(methylenedioxy)penethylamine, N-ethyl MDA, MDE, and MDEA) (October 15, 1987) 7404","3,4-methylenedioxt-N0ethylamphetamine (also known as N-ethyl-alpha-methyl-3,4(methylenedioxy)penethylamine, N-ethyl MDA, MDE, and MDEA) (October 15, 1987) 7404",,,,"Methcathinone (Some other names: 2-Methylamino-1-Phenylpropan-1-one; Ephedrone; Monomethylpropion; UR 1431, its salts optical isomers, and salts of optical isomers) (added May 1, 1992) 1237","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","4-bromo-2,5-dimethoxyphenethylamine, its optical isomers, salts and salts of isomers (Some other names: 2-(4-bromo-2,5-dimethoxyphenyl)-1-aminoethane; alphadesmethyl DOB; 2C-B.) 7392",,,,,,,,"N-benzylpiperazine (some other names: BZP; 1-benzylpiperazine), its optical isomers, salts and salts of isomers (September 20, 2002) 7493","Alpha-methyltryptamine (AMT), isomers, salts and salts of isomers (April 4, 2003) 7432",,,,,,,"1-Butyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) (March 1, 2011) 7173","1-Butyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-073) 7173","1–Butyl–3–(1–naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH–073) 7173","1–Butyl–3–(1–naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH–073) 7173","1–Butyl–3–(1–naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH–073) 7173"
4,,,,,,,,,,,,,,,,,"1-(2-phenylethyl)-4-phenyl-4-acetyloxypiperidine (PEPAP), its optical isomers, salts and salts of isomers (August 12, 1985) 9663","N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide (beta-hydroxyfentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9830","N-hydroxy-3,4-methylenedioxyamphetamine (also known as N-hydroxy-alpha-methyl-3,4-(methylenedioxy)phenethylamine, and N-hydroxy MDA) (October 15, 1987) 7402","N-hydroxy-3,4-methylenedioxyamphetamine (also known as N-hydroxy-alpha-methyl-3,4-(methylenedioxy)phenethylamine, and N-hydroxy MDA) (October 15, 1987) 7402",,,,"Aminorex (Some other names: aminoxaphen, 2-amino-5-phenyl-2-oxazoline, or 4,5-dihydro-5-phenyl-2-oxazolamine, its salts, optical isomers, and salts of optical isomers) (added September 21, 1992) 1585","4-bromo-2,5-dimethoxyphenethylamine, its optical isomers, salts and salts of isomers (Some other names: 2-(4-bromo-2,5-dimethoxyphenyl)-1-aminoethane; alphadesmethyl DOB; 2C-B.) (Added January 6, 1994) 7392",,,,,,,,,"1-(3-trifluoromethylphenyl)piperazine (other name: TFMPP), its optical isomers, salts and salts of isomers (September 20, 2002) (doesn't appear in the following year; expired March 19, 2004) 7494","5-methoxy-N,N-dilsopropyltryptamine (5-MeO-DIPT), its isomers, salts and salts of isomers (April 4, 2003) 7439",,,,,,,"1-[2-(4-Morpholinyl)ethyl]-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-200) (March 1, 2011) 7200","1-[2-(4-Morpholinyl)ethyl]-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-200) 7200","1–[2–(4–Morpholinyl)ethyl]–3–(1–naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH–200) 7200","1–[2–(4–Morpholinyl)ethyl]–3–(1–naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH–200) 7200","1–[2–(4–Morpholinyl)ethyl]–3–(1–naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH–200) 7200"
5,,,,,,,,,,,,,,,,," N-[1-(1-methyl-2-phenyl)ethyl-4-piperidinyl]-Nphenylacetamide (acetyl-alpha-methylfentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9815","N-[3-methyl-1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide (beta-hydrozy-3-methylfentanyl), its optical and geometric isomers, salts and salts of isomers (November 29, 1985) 9831","4-methylaminorex (also known as 2-amino -4-methyl-5-phenyl-2-oxazoline) (October 15, 1987) 1590","4-methylaminorex (also known as 2-amino -4-methyl-5-phenyl-2-oxazoline) (October 15, 1987) 1590",,,,"alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) (added March 12, 1993) 7249 ",,,,,,,,,,"2,5-dimethoxy-4-(n)-propylthiophenethylamine (2C-T-7), its optical isomers, salts and salts of isomers (September 20, 2002) 7348",,,,,,,,"1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) (March 1, 2011) 7118","1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) 7118","1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) 7118","1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) 7118","1-Pentyl-3-(1-naphthoyl)indole, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: JWH-018 and AM 678) 7118"
